Binary,Char,Value,Hex
00000000,NUL,-+00-+,00
00000001,SOH,0-+-+0,01
00000010,STX,0-+0-+,02
00000011,ETX,0-++0-,03
00000100,EOT,-+0+0-,04
00000101,ENQ,+0--+0,05
00000110,ACK,+0-0-+,06
00000111,BEL,+0-+0-,07
00001000,BS,-+00+-,08
00001001,HT,0-++-0,09
00001010,LF,0-+0+-,0A
00001011,VT,0-+-0+,0B
00001100,FF,-+0-0+,0C
00001101,CR,+0-+-0,0D
00001110,SO,+0-0+-,0E
00001111,SI,+0--0+,0F
00010000,DLE,0--+0+,10
00010001,DC1,-0-0++,11
00010010,DC2,-0-+0+,12
00010011,DC3,-0-++0,13
00010100,DC4,0--++0,14
00010101,NAK,--00++,15
00010110,SYN,--0+0+,16
00010111,ETB,--0++0,17
00011000,CAN,-+0-+0,18
00011001,EM,+-0-+0,19
00011010,SUB,-++-+0,1A
00011011,ESC,+00-+0,1B
00011100,FS,+00+-0,1C
00011101,GS,-+++-0,1D
00011110,RS,+-0+-0,1E
00011111,US,-+0+-0,1F
00100000,space,-++-00,20
00100001,!,+00+--,21
00100010,"""",-+0-++,22
00100011,#,+-0-++,23
00100100,$,+-0+00,24
00100101,%,-+0+00,25
00100110,&,+00-00,26
00100111,',-+++--,27
00101000,(,0++-0-,28
00101001,),+0+0--,29
00101010,*,+0+-0-,2A
00101011,+,+0+--0,2B
00101100,`,0++--0,2C
00101101,-,++00--,2D
00101110,.,++0-0-,2E
00101111,/,++0--0,2F
00110000,0,+-00-+,30
00110001,1,0+--+0,31
00110010,2,0+-0-+,32
00110011,3,0+-+0-,33
00110100,4,+-0+0-,34
00110101,5,-0+-+0,35
00110110,6,-0+-+,36
00110111,7,-0++0-,37
00111000,8,+-00+-,38
00111001,9,0+-+-0,39
00111010,:,0+-0+-,3A
00111011,;,0+--0+,3B
00111100,<,+-0-0+,3C
00111101,=,-0++-0,3D
00111110,>,-0+0+-,3E
00111111,?,-0+-0+,3F
01000000,@,-00+0+,40
01000001,A,0-00++,41
01000010,B,0-0+0+,42
01000011,C,0-0++0,43
01000100,D,-00++0,44
01000101,E,00-0++,45
01000110,F,00-+0+,46
01000111,G,00-++0,47
01001000,H,00+000,48
01001001,I,++-000,49
01001010,J,+-+000,4A
01001011,K,-++000,4B
01001100,L,0+-000,4C
01001101,M,+0-000,4D
01001110,N,0-+000,4E
01001111,O,-0+000,4F
01010000,P,+--+0+,50
01010001,Q,-+-0++,51
01010010,R,-+-+0+,52
01010011,S,-+-++0,53
